Gene_name	Gene_ID	Transcript_ID	RefSeq_ID	Strand	Chromosome	Exon_region_start	Exon_region_end	Exon_rank_in_transcript
LDB3	ENSG00000122367	ENST00000429277	NM_001171610	1	chr10	88441193	88441560	5
LDB3	ENSG00000122367	ENST00000429277	NM_001171610	1	chr10	88469662	88469807	9
LDB3	ENSG00000122367	ENST00000429277	NM_001171610	1	chr10	88476084	88476528	10
LDB3	ENSG00000122367	ENST00000429277	NM_001171610	1	chr10	88477721	88477901	11
LDB3	ENSG00000122367	ENST00000429277	NM_001171610	1	chr10	88478484	88478604	12
LDB3	ENSG00000122367	ENST00000429277	NM_001171610	1	chr10	88485894	88486009	13
LDB3	ENSG00000122367	ENST00000429277	NM_001171610	1	chr10	88492644	88495825	14
LDB3	ENSG00000122367	ENST00000429277	NM_001171610	1	chr10	88428206	88428327	1
LDB3	ENSG00000122367	ENST00000429277	NM_001171610	1	chr10	88428426	88428541	2
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75757872	75758133	1
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75802841	75802911	2
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75830428	75830578	3
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75830733	75830841	4
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75832488	75832610	5
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75834501	75834661	6
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75842212	75842302	7
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75843124	75843271	8
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75848954	75849107	9
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75849781	75849956	10
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75854029	75854219	11
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75855414	75855613	12
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75856962	75857090	13
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75860706	75860855	14
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75863578	75863686	15
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75864809	75865111	16
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75866988	75867112	17
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75868729	75868914	18
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75873942	75874145	20
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75874553	75874657	21
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75871667	75871870	19
VCL	ENSG00000035403	ENST00000211998	NM_014000	1	chr10	75877781	75879910	22
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48573290	48573665	2
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48555984	48556114	1
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48575056	48575230	3
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48575665	48575694	4
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48581151	48581363	5
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48584495	48584614	6
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48584710	48584826	7
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48586236	48586286	8
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48591793	48591976	9
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48593389	48593557	10
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48603008	48603146	11
SMAD4	ENSG00000141646	ENST00000398417	-	1	chr18	48604626	48611415	12
KCNH2	ENSG00000055118	ENST00000262186	NM_000238	-1	chr7	150649513	150649941	6
KCNH2	ENSG00000055118	ENST00000262186	NM_000238	-1	chr7	150648536	150648923	7
KCNH2	ENSG00000055118	ENST00000262186	NM_000238	-1	chr7	150648009	150648208	8
KCNH2	ENSG00000055118	ENST00000262186	NM_000238	-1	chr7	150647256	150647508	9
KCNH2	ENSG00000055118	ENST00000262186	NM_000238	-1	chr7	150645944	150646137	10
KCNH2	ENSG00000055118	ENST00000262186	NM_000238	-1	chr7	150645532	150645631	11
KCNH2	ENSG00000055118	ENST00000262186	NM_000238	-1	chr7	150644694	150644966	12
KCNH2	ENSG00000055118	ENST00000262186	NM_000238	-1	chr7	150644416	150644602	13
KCNH2	ENSG00000055118	ENST00000262186	NM_000238	-1	chr7	150643965	150644142	14
KCNH2	ENSG00000055118	ENST00000262186	NM_000238	-1	chr7	150642049	150642602	15
KCNH2	ENSG00000055118	ENST00000262186	NM_000238	-1	chr7	150674926	150675403	1
KCNH2	ENSG00000055118	ENST00000262186	NM_000238	-1	chr7	150671799	150672029	2
KCNH2	ENSG00000055118	ENST00000262186	NM_000238	-1	chr7	150656660	150656824	3
KCNH2	ENSG00000055118	ENST00000262186	NM_000238	-1	chr7	150655147	150655590	4
KCNH2	ENSG00000055118	ENST00000262186	NM_000238	-1	chr7	150654379	150654590	5
KCNJ2	ENSG00000123700	ENST00000243457	NM_000891	1	chr17	68165676	68165842	1
KCNJ2	ENSG00000123700	ENST00000243457	NM_000891	1	chr17	68170965	68176189	2
DNAJC19	ENSG00000205981	ENST00000382564	NM_145261	-1	chr3	180707388	180707561	1
DNAJC19	ENSG00000205981	ENST00000382564	NM_145261	-1	chr3	180705966	180706017	2
DNAJC19	ENSG00000205981	ENST00000382564	NM_145261	-1	chr3	180705811	180705884	3
DNAJC19	ENSG00000205981	ENST00000382564	NM_145261	-1	chr3	180704731	180704810	4
DNAJC19	ENSG00000205981	ENST00000382564	NM_145261	-1	chr3	180703714	180703784	5
DNAJC19	ENSG00000205981	ENST00000382564	NM_145261	-1	chr3	180701497	180702498	6
FKRP	ENSG00000181027	ENST00000318584	NM_001039885	1	chr19	47249303	47249347	1
FKRP	ENSG00000181027	ENST00000318584	NM_001039885	1	chr19	47251284	47251345	2
FKRP	ENSG00000181027	ENST00000318584	NM_001039885	1	chr19	47251772	47251922	3
FKRP	ENSG00000181027	ENST00000318584	NM_001039885	1	chr19	47258669	47261742	4
RAF1	ENSG00000132155	ENST00000251849	NM_002880	-1	chr3	12705312	12705725	1
RAF1	ENSG00000132155	ENST00000251849	NM_002880	-1	chr3	12660014	12660246	2
RAF1	ENSG00000132155	ENST00000251849	NM_002880	-1	chr3	12653449	12653561	3
RAF1	ENSG00000132155	ENST00000251849	NM_002880	-1	chr3	12650732	12650834	4
RAF1	ENSG00000132155	ENST00000251849	NM_002880	-1	chr3	12650265	12650422	5
RAF1	ENSG00000132155	ENST00000251849	NM_002880	-1	chr3	12647700	12647798	6
RAF1	ENSG00000132155	ENST00000251849	NM_002880	-1	chr3	12645635	12645788	7
RAF1	ENSG00000132155	ENST00000251849	NM_002880	-1	chr3	12641887	12641914	8
RAF1	ENSG00000132155	ENST00000251849	NM_002880	-1	chr3	12641651	12641778	9
RAF1	ENSG00000132155	ENST00000251849	NM_002880	-1	chr3	12641190	12641307	10
RAF1	ENSG00000132155	ENST00000251849	NM_002880	-1	chr3	12633207	12633291	11
RAF1	ENSG00000132155	ENST00000251849	NM_002880	-1	chr3	12632297	12632473	12
RAF1	ENSG00000132155	ENST00000251849	NM_002880	-1	chr3	12629090	12629136	13
RAF1	ENSG00000132155	ENST00000251849	NM_002880	-1	chr3	12627180	12627298	14
RAF1	ENSG00000132155	ENST00000251849	NM_002880	-1	chr3	12626621	12626752	15
RAF1	ENSG00000132155	ENST00000251849	NM_002880	-1	chr3	12626346	12626480	16
RAF1	ENSG00000132155	ENST00000251849	NM_002880	-1	chr3	12625100	12626156	17
SLC2A10	ENSG00000197496	ENST00000359271	NM_030777	1	chr20	45338126	45338379	1
SLC2A10	ENSG00000197496	ENST00000359271	NM_030777	1	chr20	45353680	45354963	2
SLC2A10	ENSG00000197496	ENST00000359271	NM_030777	1	chr20	45355503	45355625	3
SLC2A10	ENSG00000197496	ENST00000359271	NM_030777	1	chr20	45357992	45358127	4
SLC2A10	ENSG00000197496	ENST00000359271	NM_030777	1	chr20	45362395	45364965	5
LAMP2	ENSG00000005893	ENST00000200639	-	-1	chrX	119590506	119590624	2
LAMP2	ENSG00000005893	ENST00000200639	-	-1	chrX	119589212	119589425	3
LAMP2	ENSG00000005893	ENST00000200639	-	-1	chrX	119582825	119582983	4
LAMP2	ENSG00000005893	ENST00000200639	-	-1	chrX	119581696	119581880	5
LAMP2	ENSG00000005893	ENST00000200639	-	-1	chrX	119580160	119580282	6
LAMP2	ENSG00000005893	ENST00000200639	-	-1	chrX	119576454	119576517	7
LAMP2	ENSG00000005893	ENST00000200639	-	-1	chrX	119575585	119575749	8
LAMP2	ENSG00000005893	ENST00000200639	-	-1	chrX	119602961	119603161	1
LAMP2	ENSG00000005893	ENST00000200639	-	-1	chrX	119564681	119565317	9
BRAF	ENSG00000157764	ENST00000288602	NM_004333	-1	chr7	140482821	140482957	10
BRAF	ENSG00000157764	ENST00000288602	NM_004333	-1	chr7	140481376	140481493	11
BRAF	ENSG00000157764	ENST00000288602	NM_004333	-1	chr7	140477791	140477875	12
BRAF	ENSG00000157764	ENST00000288602	NM_004333	-1	chr7	140476712	140476888	13
BRAF	ENSG00000157764	ENST00000288602	NM_004333	-1	chr7	140453987	140454033	14
BRAF	ENSG00000157764	ENST00000288602	NM_004333	-1	chr7	140453075	140453193	15
BRAF	ENSG00000157764	ENST00000288602	NM_004333	-1	chr7	140449087	140449218	16
BRAF	ENSG00000157764	ENST00000288602	NM_004333	-1	chr7	140439612	140439746	17
BRAF	ENSG00000157764	ENST00000288602	NM_004333	-1	chr7	140624366	140624564	1
BRAF	ENSG00000157764	ENST00000288602	NM_004333	-1	chr7	140549911	140550012	2
BRAF	ENSG00000157764	ENST00000288602	NM_004333	-1	chr7	140534409	140534672	3
BRAF	ENSG00000157764	ENST00000288602	NM_004333	-1	chr7	140508692	140508795	4
BRAF	ENSG00000157764	ENST00000288602	NM_004333	-1	chr7	140507760	140507862	5
BRAF	ENSG00000157764	ENST00000288602	NM_004333	-1	chr7	140501212	140501360	6
BRAF	ENSG00000157764	ENST00000288602	NM_004333	-1	chr7	140500162	140500281	7
BRAF	ENSG00000157764	ENST00000288602	NM_004333	-1	chr7	140494108	140494267	8
BRAF	ENSG00000157764	ENST00000288602	NM_004333	-1	chr7	140487348	140487384	9
BRAF	ENSG00000157764	ENST00000288602	NM_004333	-1	chr7	140434279	140434570	18
KCNE2	ENSG00000159197	ENST00000290310	NM_172201	1	chr21	35736323	35736450	1
KCNE2	ENSG00000159197	ENST00000290310	NM_172201	1	chr21	35742766	35743688	2
KCNE1	ENSG00000180509	ENST00000337385	NM_001270402	-1	chr21	35883399	35883613	1
KCNE1	ENSG00000180509	ENST00000337385	NM_001270402	-1	chr21	35830952	35831062	2
KCNE1	ENSG00000180509	ENST00000337385	NM_001270402	-1	chr21	35818989	35821982	3
TNNI3	ENSG00000129991	ENST00000344887	NM_000363	-1	chr19	55668947	55669100	1
TNNI3	ENSG00000129991	ENST00000344887	NM_000363	-1	chr19	55668664	55668676	2
TNNI3	ENSG00000129991	ENST00000344887	NM_000363	-1	chr19	55668418	55668501	3
TNNI3	ENSG00000129991	ENST00000344887	NM_000363	-1	chr19	55667971	55668012	4
TNNI3	ENSG00000129991	ENST00000344887	NM_000363	-1	chr19	55667569	55667700	5
TNNI3	ENSG00000129991	ENST00000344887	NM_000363	-1	chr19	55666109	55666198	6
TNNI3	ENSG00000129991	ENST00000344887	NM_000363	-1	chr19	55665398	55665574	7
TNNI3	ENSG00000129991	ENST00000344887	NM_000363	-1	chr19	55663138	55663285	8
HSPB8	ENSG00000152137	ENST00000281938	NM_014365	1	chr12	119616447	119617484	1
HSPB8	ENSG00000152137	ENST00000281938	NM_014365	1	chr12	119624830	119624893	2
HSPB8	ENSG00000152137	ENST00000281938	NM_014365	1	chr12	119631504	119632551	3
TCAP	ENSG00000173991	ENST00000309889	-	1	chr17	37820440	37821722	1
TCAP	ENSG00000173991	ENST00000309889	-	1	chr17	37821969	37822808	2
GPIHBP1	ENSG00000182851	ENST00000330824	NM_178172	1	chr8	144295068	144295194	1
GPIHBP1	ENSG00000182851	ENST00000330824	NM_178172	1	chr8	144295697	144295825	2
GPIHBP1	ENSG00000182851	ENST00000330824	NM_178172	1	chr8	144296888	144297001	3
GPIHBP1	ENSG00000182851	ENST00000330824	NM_178172	1	chr8	144297134	144299044	4
COL3A1	ENSG00000168542	ENST00000304636	NM_000090	1	chr2	189839046	189839294	1
COL3A1	ENSG00000168542	ENST00000304636	NM_000090	1	chr2	189849486	189849688	2
COL3A1	ENSG00000168542	ENST00000304636	NM_000090	1	chr2	189849923	189849973	3
COL3A1	ENSG00000168542	ENST00000304636	NM_000090	1	chr2	189850391	189850504	4
COL3A1	ENSG00000168542	ENST00000304636	NM_000090	1	chr2	189851785	189851865	5
COL3A1	ENSG00000168542	ENST00000304636	NM_000090	1	chr2	189852807	189852860	6
COL3A1	ENSG00000168542	ENST00000304636	NM_000090	1	chr2	189853316	189853369	7
COL3A1	ENSG00000168542	ENST00000304636	NM_000090	1	chr2	189854122	189854175	8
COL3A1	ENSG00000168542	ENST00000304636	NM_000090	1	chr2	189854822	189854875	9
COL3A1	ENSG00000168542	ENST00000304636	NM_000090	1	chr2	189855033	189855086	10
COL3A1	ENSG00000168542	ENST00000304636	NM_000090	1	chr2	189855730	189855783	11
COL3A1	ENSG00000168542	ENST00000304636	NM_000090	1	chr2	189856213	189856257	12
COL3A1	ENSG00000168542	ENST00000304636	NM_000090	1	chr2	189856395	189856448	13
COL3A1	ENSG00000168542	ENST00000304636	NM_000090	1	chr2	189856910	189856954	14
COL3A1	ENSG00000168542	ENST00000304636	NM_000090	1	chr2	189857613	189857666	15
COL3A1	ENSG00000168542	ENST00000304636	NM_000090	1	chr2	189858087	189858185	16
